Rate,Weight,Time,ell,p,p^+_x,p^+_y,i,p^-_x,p^-_y,N
0.129,0.0625,0.005580784713802779,0.00428335584,0.00103243255,0.000224819236,0.0001292705178,0.00076901985,0.00065153993,0.0003698719799,0.0624934112
0.13,0.0625,0.0056683611843087916,0.00435504429,0.00105002241,0.00025376139649999996,0.00014455586004999998,0.000753118759,0.0006375412525,0.00036308362105,0.0624986992
0.131,0.0625,0.005755971854984341,0.00442856087,0.00106821472,0.000283657145,0.0001639263145,0.00073765906,0.000623082432,0.00035259007119999995,0.0624999659
0.132,0.0625,0.00584353248297049,0.00453571037,0.00109624717,0.000317201092,0.00018181933109999999,0.000725757822,0.000612998712,0.0003481346409,0.0624997314
0.133,0.0625,0.005931164393745573,0.00460127711,0.00111185467,0.0003466685355,0.00019929291625,0.000711211163,0.0005970301014999999,0.00033840133454999995,0.0624996252
0.134,0.0625,0.006018732392186846,0.00467941532,0.00113142542,0.00037681095599999997,0.0002155063038,0.000693145934,0.000583376311,0.0003316054933,0.0624975327
0.135,0.0625,0.0061063475037043055,0.0047421269,0.00114639153,0.0004025691465,0.00022940525814999998,0.000675409385,0.0005703374865,0.00032493134215,0.0625
0.136,0.0625,0.006193951609255089,0.0048334451,0.00116972412,0.00043568498049999997,0.00025030659585,0.000660808251,0.0005569055815,0.00031540028674999996,0.0624982699
0.137,0.06666666666666667,0.0062837559301858175,0.00507835529,0.00123886116,0.00027110867549999995,0.00015751830054999997,0.000924745461,0.0007825188795,0.00044751562285,0.06666612
0.138,0.06666666666666667,0.006377206567338121,0.00514639008,0.00125515814,0.000305409478,0.00017648205010000002,0.000901529344,0.0007622739470000001,0.00043659887590000006,0.0666666368
0.139,0.06666666666666667,0.006470746300424091,0.00526986768,0.00128792569,0.0003374339465,0.00019385405695,0.000894922157,0.0007576037064999999,0.00043503626755,0.0666623784
0.14,0.06666666666666667,0.006564212727630048,0.00536063192,0.00131111843,0.0003745772605,0.00021705573555,0.000873797111,0.0007400749205000001,0.00042323161275000003,0.0666659129
0.141,0.06666666666666667,0.00665770547387093,0.00543361786,0.00132879299,0.00040545800900000005,0.00023384160120000003,0.000855475248,0.000724339061,0.0004151220739,0.0666612407
0.142,0.06666666666666667,0.006751206392000895,0.00549155181,0.00134200177,0.00044089508499999994,0.0002552533012,0.00083183594,0.000700578841,0.0004004270277,0.0666590004
0.143,0.06666666666666667,0.0068446793005746236,0.00558692682,0.00136643858,0.000472664741,0.0002727671234,0.000816899312,0.000689372852,0.0003947604071,0.0666662685
0.144,0.06666666666666667,0.006938201346093048,0.00563046034,0.00137520865,0.0004997285525,0.00028792655705,0.000794601033,0.0006702389185,0.00038412099824999997,0.066665925
0.145,0.06666666666666667,0.007031732914030099,0.00575049449,0.00140693985,0.0005402360615,0.00031191708865,0.000781305777,0.0006564609745,0.00037564609225,0.0666623453
0.146,0.06666666666666667,0.007125222594786687,0.00583813074,0.00142917318,0.0005727023215,0.00033121307195,0.000762420387,0.0006427267185,0.00036719627845,0.0666619694
0.147,0.07142857142857142,0.007224442495587842,0.00612103194,0.00150946227,0.000365655577,0.00021466721770000002,0.00108899672,0.000921931288,0.0005314785721,0.0714281494
0.148,0.07142857142857142,0.00732470032609276,0.00622158007,0.00153518161,0.00039995974999999995,0.0002350020177,0.00107283613,0.000909387994,0.0005238253425,0.0714283603
0.149,0.07142857142857142,0.007424961975383335,0.00630309693,0.00155507838,0.0004416476780000001,0.00025835253950000006,0.00104896486,0.000885064272,0.0005105453853,0.0714285425
0.15,0.07142857142857142,0.007525246547045353,0.00643761197,0.0015914856,0.0004887602249999999,0.00028495225649999994,0.00102867219,0.0008684637029999999,0.0005017647882,0.0714237167
0.151,0.07142857142857142,0.007625492875057811,0.00649168992,0.00160296039,0.000515974375,0.0003028117195,0.00100778944,0.00085141801,0.0004898004668,0.0714270259
0.152,0.07142857142857142,0.007725733423944863,0.00661588958,0.00163586229,0.0005535553165,0.00032249786904999997,0.000993996997,0.0008414587774999999,0.00048616847455,0.071428538
0.153,0.07142857142857142,0.007826051866327616,0.00674011446,0.00166883612,0.000599278876,0.00035172981,0.000977360918,0.0008236832390000001,0.00047338534780000006,0.0714279647
0.154,0.07142857142857142,0.007926359752251618,0.00678963783,0.00167911109,0.0006299421999999999,0.00036815171149999997,0.000948743704,0.00080216688,0.0004621157017,0.0714259424
0.155,0.07142857142857142,0.008026594566589672,0.00690230579,0.00170842114,0.000672464334,0.0003919300426,0.000931126036,0.000784614891,0.0004529416885,0.0714270115
0.156,0.07142857142857142,0.008126961810212911,0.00700662977,0.00173546498,0.0007100234919999999,0.0004173594899,0.000912652286,0.000769878541,0.0004409343006,0.0714255373
0.157,0.07142857142857142,0.00822726975509164,0.00714859418,0.00177344929,0.0007540150355,0.00044062740195,0.000902779409,0.0007580168485,0.00043639899924999997,0.0714272424
0.158,0.07692307692307693,0.008335021215832378,0.00747311589,0.00186607651,0.0004715374260000001,0.00028266836640000005,0.00132416019,0.001125233876,0.0006524238959,0.0769214133
0.159,0.07692307692307693,0.008443039805504609,0.00759272248,0.0018971187,0.0005154609719999999,0.0003054003292,0.0013018271,0.0011077913800000001,0.0006452204607,0.0769218479
0.16,0.07692307692307693,0.00855121641028044,0.00767167949,0.00191607196,0.000570989121,0.0003390358177,0.00126492611,0.001069291219,0.0006216157471,0.0769209825
0.161,0.07692307692307693,0.008659263530992809,0.0078133219,0.00195402238,0.000608779971,0.0003594179483,0.00125317478,0.001063266586,0.0006199137245000001,0.0769207716
0.162,0.07692307692307693,0.008767375496006844,0.00791542585,0.00197986452,0.000653902059,0.000385214527,0.00122782368,0.001040429718,0.0006072051769000001,0.0769227744
0.163,0.07692307692307693,0.00887553529990305,0.00802447239,0.00200766469,0.000693377921,0.0004103278657,0.00121014469,0.001024759625,0.0005961827975999999,0.0769230736
