Rate,Weight,Time,ell,p,p^+_x,p^+_y,i,p^-_x,p^-_y,N
0.139,0.06666666666666667,0.006617422506970741,0.00641436453,0.00104888627,0.0002741975666,0.00013956896601999998,0.000694486261,0.0005228930705,0.00026553778764000003,0.0666666396
0.14,0.06666666666666667,0.00671344113602459,0.0065976231,0.00108064895,0.00029005703269999997,0.00014772149027,0.000699105945,0.0005320184345,0.00027105257145,0.066666535
0.141,0.06666666666666667,0.006809212436344542,0.00664981047,0.00108854584,0.00032567991149999993,0.00016577702545999998,0.000663731101,0.0005024210115,0.00025583984166,0.0666591231
0.142,0.06666666666666667,0.006905098052038521,0.00680445723,0.00111673984,0.0003473458245,0.00017679697697,0.000665921415,0.0005014129115,0.00025513838276,0.0666614032
0.143,0.06666666666666667,0.0070009197243528064,0.0069289329,0.00113705244,0.0003717561274999999,0.00018974953810999996,0.000650897433,0.0004935920425,0.00025143855098,0.0666655125
0.144,0.06666666666666667,0.007096790773274483,0.00699094546,0.00114684178,0.00038862831849999994,0.00019812555061999996,0.000635566881,0.0004835164275,0.00024605603134,0.066663198
0.145,0.07142857142857142,0.007194761249048293,0.0071293581,0.00119113775,0.00022684411639999996,0.00011566713401999997,0.000891005346,0.000674888963,0.00034373258336,0.0714265289
0.146,0.07142857142857142,0.007298056371222694,0.00722998375,0.00120805011,0.00026783883799999996,0.00013659933658999998,0.000861629005,0.0006471196505,0.00032964302667000005,0.0714152263
0.147,0.07142857142857142,0.007400864987489812,0.00741396418,0.00124132991,0.00029236756100000006,0.00014952434752000003,0.00085808522,0.000648283288,0.00033054892001999997,0.0714264965
0.148,0.07142857142857142,0.0075039303343692665,0.00750575245,0.00125701941,0.00032414748249999997,0.00016551626706999998,0.000838640109,0.0006282327155,0.00032027098396,0.0714254864
0.149,0.07142857142857142,0.007606927311976796,0.00760810359,0.00127457712,0.00034154020749999997,0.00017441288963,0.000824822459,0.0006236262965000001,0.00031779202304000004,0.0714264037
0.15,0.07142857142857142,0.0077101578939992345,0.00776258188,0.00130326956,0.00038864247000000004,0.00019839477515000003,0.00080082463,0.000598400608,0.0003050957505,0.0714273217
0.151,0.07142857142857142,0.00781307223102415,0.00784594575,0.00131732795,0.000405080259,0.0002068207216,0.000790001044,0.0005916915319999999,0.00030111122464999995,0.0714284449
0.152,0.07142857142857142,0.007916215216851118,0.00790091253,0.00132683768,0.00043309883700000005,0.00022059311273000002,0.000762440344,0.000569562456,0.00028943095610000003,0.0714259747
0.153,0.07142857142857142,0.00801935960074338,0.00798771618,0.00133846923,0.00046076501150000003,0.00023548495529000001,0.000741143507,0.0005530003545,0.00028133448888,0.0714185489
0.154,0.07142857142857142,0.008122373334770009,0.00821013649,0.00137825003,0.000474241228,0.00024250372466999998,0.000752747766,0.000570382512,0.00029114032898000004,0.07142849
0.155,0.07142857142857142,0.008225324776361384,0.00825937905,0.00138498968,0.0004988043509999999,0.00025498033940999997,0.000725508842,0.0005510378200000001,0.00028117700762000003,0.0714266617
0.156,0.07692307692307693,0.008332741193953367,0.0084790063,0.0014548021,0.000303931299,0.00015584437505000002,0.00105663455,0.0007919183480000001,0.00040344620486000007,0.0769190222
0.157,0.07692307692307693,0.008444051516121173,0.00856499889,0.00146771917,0.000319839685,0.00016349028818,0.00104166279,0.000786106966,0.00040113214821,0.0769230196
0.158,0.07692307692307693,0.008555658572366431,0.00872261121,0.00149656414,0.00034928715699999996,0.0001787181506,0.00102966496,0.000778232541,0.00039705796718,0.0769220292
0.159,0.07692307692307693,0.008666895989903787,0.00886365096,0.00152249538,0.000395063534,0.00020207466795,0.00100379523,0.000752236846,0.00038397766234999996,0.0769111127
0.16,0.07692307692307693,0.008778357385873138,0.00905924682,0.00156269851,0.0004353447045,0.00022275186844,0.000995464351,0.0007398093695000001,0.00037652652793000003,0.0769205203
0.161,0.07692307692307693,0.008889653971283839,0.00915657371,0.00157663042,0.00045992938199999997,0.00023514016465,0.000971936068,0.000727570102,0.0003714515039,0.0769174597
