Rate,Weight,Time,ell,p,p_x,p_y,N
0.132,0.06402000000000001,0.005947420950020062,0.00569434001,0.000915293329,0.0006983334695,0.00035515329473999996,1.0
0.133,0.064505,0.006037431499014364,0.00574423769,0.000926011806,0.000704954988,0.00035773189039,1.0
0.134,0.06499,0.006128679328936362,0.00592573725,0.000955779353,0.0007310023015,0.0003733470424,1.0
0.135,0.065475,0.006219944938075744,0.00598647447,0.000970399705,0.0007387149885000001,0.00037551134209,1.0
0.136,0.06596,0.006312495855296472,0.00607995782,0.000986706186,0.000751218344,0.00038210854361000004,1.0
0.137,0.066445,0.006405479318028675,0.00614134643,0.000999895375,0.0007592913025,0.00038524243822,1.0
0.138,0.06693,0.006499147911297741,0.00631883782,0.0010306193,0.00078512799,0.0004003363911,1.0
0.139,0.067415,0.006593607257776846,0.00643274154,0.00105275647,0.000800647273,0.00040775028118000004,1.0
0.14,0.0679,0.006688689762539866,0.00655705417,0.00107632924,0.0008183771109999999,0.00041700819532999997,1.0
0.141,0.06835499999999999,0.006784488930454589,0.00668373457,0.00110060962,0.0008360439169999999,0.00042594401646999994,1.0
0.142,0.06881,0.006881070901809382,0.00674684355,0.00111160545,0.0008443006040000001,0.00043018384051000003,1.0
0.143,0.069265,0.00697831721659766,0.00689251734,0.00113894552,0.000865022979,0.00044110866224,1.0
0.144,0.06971999999999999,0.007077161681698156,0.00682549113,0.00111894409,0.0008543267570000001,0.00043759067440000005,1.0
0.145,0.07017499999999999,0.007175046024938822,0.0071835033,0.00119541802,0.000906335529,0.00046218488661,1.0
0.146,0.07063,0.007275052817133634,0.00710102623,0.0011758861,0.0008915756529999999,0.00045405617472999994,1.0
0.147,0.071085,0.007374485740950302,0.00740650261,0.00124020982,0.000937494414,0.00047715631954,1.0
0.148,0.07153999999999999,0.007477027966269557,0.00763653045,0.00128036447,0.0009689612460000001,0.0004944580388500001,1.0
0.149,0.071995,0.007576868027719926,0.00744825828,0.00124407473,0.0009409403950000001,0.00047884576445000003,1.0
0.15,0.07245,0.007679298278166375,0.00767814488,0.0012885369,0.0009741146979999999,0.0004962816105,1.0
0.151,0.072949,0.00778247671838969,0.00785086421,0.00132055358,0.001000749525,0.00051161448,1.0
0.152,0.073448,0.007885356422339163,0.00790778376,0.00133502819,0.001007325782,0.00051279341613,1.0
0.153,0.073947,0.007990279238678892,0.00823709522,0.00140389389,0.001056899358,0.0005380264478699999,1.0
0.154,0.074446,0.008094640267522263,0.00812359584,0.00137363259,0.00103828612,0.0005300892082,1.0
0.155,0.074945,0.008200794964841813,0.00817880857,0.00138886521,0.001044860734,0.00053083890363,1.0
0.156,0.075444,0.008307055818093673,0.00853263737,0.00145371088,0.001099076325,0.0005627346146,1.0
0.157,0.075943,0.008414033247400966,0.00850238931,0.00144842469,0.001092573006,0.0005576684582000001,1.0
0.158,0.076442,0.008524774334217538,0.00894110032,0.00154538676,0.001156646803,0.0005873110182999999,1.0
0.159,0.076941,0.008630999250646618,0.00860831378,0.00146368001,0.001106807937,0.0005664334313,1.0
0.16,0.07744,0.008741563265755755,0.00904330922,0.00156841231,0.001171908596,0.00059396014851,1.0
0.161,0.077924,0.008850566430535032,0.00922992976,0.00159028489,0.001200354811,0.0006156583423,1.0
0.162,0.07840799999999999,0.008960440277245105,0.00926392575,0.00160112184,0.001204348839,0.0006153688684,1.0
0.163,0.07889199999999999,0.009071870546164974,0.00941891501,0.00163197894,0.0012273643720000001,0.0006275302160000001,1.0
0.164,0.07937599999999999,0.009184517405309931,0.00951586393,0.00164858617,0.00124050437,0.0006347536006,1.0
0.165,0.07985999999999999,0.009297202506553422,0.00968028113,0.00168568395,0.001265323679,0.0006465255362,1.0
0.166,0.080344,0.009411063718804919,0.00980805117,0.00170661091,0.001284594419,0.0006583561264000001,1.0
0.167,0.080828,0.009525939649067111,0.0101986239,0.00178867381,0.0013443446609999999,0.0006896715867,1.0
0.168,0.081312,0.00964304682554795,0.0106232465,0.00187793341,0.001412319542,0.0007274234371,1.0
0.169,0.081796,0.009755798327779393,0.0101442234,0.00177767243,0.001332257028,0.0006805513314,1.0
0.17,0.08227999999999999,0.009873189980860387,0.0101132464,0.00177201967,0.001325282002,0.0006749829483,1.0
0.171,0.08272799999999998,0.009989504854996332,0.0104885508,0.00184727372,0.001383854799,0.0007077321741,1.0
0.172,0.08317599999999997,0.010107651385520578,0.0106400637,0.00187446577,0.00140684607,0.0007214521061,1.0
0.173,0.08362399999999998,0.010226390984111926,0.0107735061,0.00190541945,0.001425855658,0.0007293126284,1.0
0.174,0.08407199999999998,0.010345831135542181,0.01107827,0.00197126504,0.001472871248,0.0007532431815,1.0
0.175,0.08451999999999998,0.010465921667516344,0.0109343179,0.00193493414,0.001447866401,0.000740517564,1.0
0.176,0.08496799999999997,0.010587196323899255,0.011507604,0.00205648079,0.001539090632,0.0007900527207,1.0
0.177,0.08541599999999998,0.010708275247202952,0.0112996654,0.00201067642,0.0015029787699999998,0.0007690813211999999,1.0
0.178,0.08586399999999998,0.010831586146967286,0.0114085182,0.00203618587,0.001518278905,0.0007756392189999999,1.0
0.179,0.08631199999999999,0.0109537138551659,0.0116709351,0.00208658212,0.001559257899,0.0007988850424,1.0
0.18,0.08675999999999999,0.01107759709875912,0.0118544374,0.00212055619,0.001587757118,0.0008157787576,1.0
0.181,0.08726099999999999,0.011203556575703027,0.0115651643,0.00205975584,0.001538143476,0.0007865038744999999,1.0
0.182,0.08776199999999999,0.0113275906138466,0.0122797122,0.00221503795,0.001652692941,0.0008476199465,1.0
0.183,0.088263,0.01145353981970976,0.0123613085,0.00223270276,0.001663919757,0.0008524162602,1.0
0.184,0.088764,0.011580825945776252,0.0125801739,0.00228438421,0.001697174018,0.0008674333683,1.0
0.185,0.089265,0.011709149200165053,0.0130999823,0.00239122269,0.001782871037,0.0009174795477,1.0
0.186,0.089766,0.011835977885484163,0.0129387182,0.00235375132,0.001753681967,0.0009003420694,1.0
0.187,0.090267,0.011965484742295824,0.0132689511,0.00242809267,0.001806176542,0.0009272449368,1.0
0.188,0.09076799999999999,0.012094886699049432,0.0133261274,0.00243353232,0.0018141532340000001,0.0009333163253,1.0
0.189,0.09126899999999999,0.01222519201506131,0.0134339793,0.0024578779,0.001829591258,0.0009400163283,1.0
0.19,0.09176999999999999,0.012358237841468247,0.0132241942,0.00240910873,0.0017929081790000001,0.0009206416100000001,1.0
0.191,0.092233,0.012489129816812827,0.0135595372,0.00248032646,0.001844887682,0.0009469746408,1.0
0.192,0.09269599999999999,0.012621303731072744,0.0138421311,0.00255010218,0.001890142828,0.0009677854267999999,1.0
0.193,0.09315899999999999,0.012754532255170259,0.0141049252,0.00259959947,0.001932677706,0.0009938537709,1.0
0.194,0.093622,0.012889473628317823,0.0145097685,0.00268700741,0.0019989519569999998,0.0010306773403999999,1.0
0.195,0.094085,0.013024080010277134,0.0145306819,0.00268607415,0.00200014709,0.0010318696084999999,1.0
0.196,0.09454800000000001,0.013159786757052282,0.0145051919,0.00268220922,0.001991996812,0.0010241928186,1.0
0.197,0.095011,0.013298164347147182,0.014975683,0.00278647037,0.002066944249,0.0010636120078,1.0
0.198,0.095474,0.013433744274701002,0.0151384191,0.00282636832,0.002093861032,0.001076572381,1.0
0.199,0.09593700000000001,0.013572172549802523,0.0146240773,0.00271281588,0.002004122501,0.0010240268982999999,1.0
0.2,0.09640000000000001,0.013709573610235866,0.0152298889,0.0028399389,0.002105096302,0.0010826556411,1.0
0.201,0.09688200000000001,0.013851582911553844,0.01604129,0.00302277446,0.002241694638,0.0011582408278,1.0
0.202,0.09736400000000002,0.013989303303803123,0.0156281011,0.00292679638,0.002167783879,0.0011153901229,1.0
